"","rank","Team","Index","conference","division","color","logo","rating"
"15",15,"Michigan",0.631773498853668,"Big Ten","East","#00274c","http://a.espncdn.com/i/teamlogos/ncaa/500/130.png",9.16071573337818
"16",16,"UAB",0.631341343757791,"Conference USA","West","#003b28","http://a.espncdn.com/i/teamlogos/ncaa/500/5.png",9.15444948448797
"17",17,"Texas A&M",0.607426205571951,"SEC","West","#5C0025","http://a.espncdn.com/i/teamlogos/ncaa/500/245.png",8.80767998079329
"18",18,"Florida",0.586626231156986,"SEC","East","#0021A5","http://a.espncdn.com/i/teamlogos/ncaa/500/57.png",8.5060803517763
"19",19,"Iowa",0.577250610237995,"Big Ten","West","#000000","http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png",8.37013384845093
"20",20,"Tennessee",0.576324449233265,"SEC","East","#EE9627","http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png",8.35670451388234
"21",21,"Auburn",0.528225105188137,"SEC","West","#03244d","http://a.espncdn.com/i/teamlogos/ncaa/500/2.png",7.65926402522799
"22",22,"NC State",0.52693319675255,"ACC","Atlantic","#EF1216","http://a.espncdn.com/i/teamlogos/ncaa/500/152.png",7.64053135291198
"23",23,"LSU",0.520518252911054,"SEC","West","#22005c","http://a.espncdn.com/i/teamlogos/ncaa/500/99.png",7.54751466721028
"24",24,"Appalachian State",0.502616558611805,"Sun Belt","West","#000000","http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png",7.28794009987117
"25",25,"Minnesota",0.49469151040515,"Big Ten","West","#7F011B","http://a.espncdn.com/i/teamlogos/ncaa/500/135.png",7.17302690087468
"26",26,"Arkansas",0.478976717815285,"SEC","West","#9c1831","http://a.espncdn.com/i/teamlogos/ncaa/500/8.png",6.94516240832163
"27",27,"Pittsburgh",0.459444115993473,"ACC","Coastal","#003263","http://a.espncdn.com/i/teamlogos/ncaa/500/221.png",6.66193968190536
"28",28,"Louisville",0.445905041298946,"ACC","Atlantic","#ad000a","http://a.espncdn.com/i/teamlogos/ncaa/500/97.png",6.46562309883472
"29",29,"Kentucky",0.428946521350071,"SEC","East","#005DAA","http://a.espncdn.com/i/teamlogos/ncaa/500/96.png",6.21972455957603
"30",30,"Michigan State",0.425376349751729,"Big Ten","East","#18453B","http://a.espncdn.com/i/teamlogos/ncaa/500/127.png",6.16795707140007
"31",31,"North Carolina",0.418569106219799,"ACC","Coastal","#99bfe5","http://a.espncdn.com/i/teamlogos/ncaa/500/153.png",6.06925204018709
"32",32,"UCF",0.418437507501428,"American Athletic","East","#000000","http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png",6.06734385877071
"33",33,"Texas",0.411539502411951,"Big 12",NA,"#EE7524","http://a.espncdn.com/i/teamlogos/ncaa/500/251.png",5.96732278497329
"34",34,"Arizona State",0.40800374629601,"Pac-12","South","#942139","http://a.espncdn.com/i/teamlogos/ncaa/500/9.png",5.91605432129214
"35",35,"Fresno State",0.40621904794286,"Mountain West","West","#c41230","http://a.espncdn.com/i/teamlogos/ncaa/500/278.png",5.89017619517147
"36",36,"Oklahoma State",0.401041940129951,"Big 12",NA,"#FF6500","http://a.espncdn.com/i/teamlogos/ncaa/500/197.png",5.81510813188429
